Palabra,Dificultad,Categoría
escenógrafo,extrema,profesiones
ilustrador,difícil,profesiones
caricaturista,difícil,profesiones
humorista,media,profesiones
guionista,difícil,profesiones
dramaturgo,extrema,profesiones
intérprete (conferencias),extrema,profesiones
forense,extrema,profesiones
criminólogo,extrema,profesiones
enólogo,extrema,profesiones
sumiller,extrema,profesiones
barista,difícil,profesiones
epidemiólogo,extrema,profesiones
logopeda,extrema,profesiones
optometrista,extrema,profesiones
podólogo,extrema,profesiones
cuarto,fácil,lugares
colegio,fácil,lugares
supermercado,fácil,lugares
camino,fácil,lugares
hotel,fácil,lugares
banco (institución),fácil,lugares
edificio,fácil,lugares
piso (vivienda),fácil,lugares
cafetería,fácil,lugares
panadería,fácil,lugares
carnicería,fácil,lugares
pescadería,fácil,lugares
país (españa),fácil,lugares
capital (madrid),fácil,lugares
provincia (región),media,lugares
región (geográfica),media,lugares
barrio (ciudad),fácil,lugares
aldea (pequeña),media,lugares
acera (peatonal),fácil,lugares
trastero,media,lugares
galería (comercial),media,lugares
auditorio,difícil,lugares
conservatorio,extrema,lugares
parlamento,difícil,lugares
senado,difícil,lugares
ministerio,difícil,lugares
catacumba,extrema,lugares
necrópolis,extrema,lugares
hemiciclo,extrema,lugares
acrópolis,extrema,lugares
circo (romano),difícil,lugares
hipódromo,difícil,lugares
hangar,difícil,lugares
astillero,extrema,lugares
cantera,difícil,lugares
refinería,extrema,lugares
apeadero,difícil,lugares
principio,media,conceptos abstractos
causa,media,conceptos abstractos
efecto,media,conceptos abstractos
orden,media,conceptos abstractos
caos,media,conceptos abstractos
silencio,media,conceptos abstractos
espacio,media,conceptos abstractos
promesa,media,conceptos abstractos
norma,media,conceptos abstractos
ley,media,conceptos abstractos
error,fácil,conceptos abstractos
acierto,fácil,conceptos abstractos
riesgo,media,conceptos abstractos
ayuda,fácil,conceptos abstractos
favor,fácil,conceptos abstractos
deber,media,conceptos abstractos
derecho,media,conceptos abstractos
trabajo,fácil,conceptos abstractos
descanso,fácil,conceptos abstractos
vacío,media,conceptos abstractos
identidad,difícil,conceptos abstractos
sociedad,difícil,conceptos abstractos
naturaleza (concepto),media,conceptos abstractos
universo (concepto),difícil,conceptos abstractos
energía,media,conceptos abstractos
materia,media,conceptos abstractos
movimiento,media,conceptos abstractos
velocidad,media,conceptos abstractos
fuerza,media,conceptos abstractos
poder,media,conceptos abstractos
influencia,difícil,conceptos abstractos
control,media,conceptos abstractos
conflicto,media,conceptos abstractos
guerra,media,conceptos abstractos
fe,media,conceptos abstractos
creencia,media,conceptos abstractos
dios (concepto),media,conceptos abstractos
alma,difícil,conceptos abstractos
espíritu,difícil,conceptos abstractos
mente,media,conceptos abstractos
símbolo,difícil,conceptos abstractos
alegoría,extrema,conceptos abstractos
mito,difícil,conceptos abstractos
leyenda,media,conceptos abstractos
dogma,extrema,conceptos abstractos
axioma,extrema,conceptos abstractos
teorema,extrema,conceptos abstractos
hipótesis,extrema,conceptos abstractos
teoría,difícil,conceptos abstractos
método,difícil,conceptos abstractos
sistema,difícil,conceptos abstractos
estructura,difícil,conceptos abstractos
función,difícil,conceptos abstractos
propósito,difícil,conceptos abstractos
objetivo,media,conceptos abstractos
meta,media,conceptos abstractos
valor (moral),difícil,conceptos abstractos
virtud,difícil,conceptos abstractos
vicio,media,conceptos abstractos
pecado,media,conceptos abstractos
cinta,fácil,objetos
lija,fácil,herramientas
exprimidor (manual),fácil,herramientas
venda (sanitaria),fácil,objetos
gancho (simple),fácil,objetos
imán (pequeño),fácil,objetos
silbato (deporte),fácil,objetos
agenda (papel),fácil,objetos
calendario (pared),fácil,objetos
grapadora (oficina),fácil,herramientas
perforadora (papel),fácil,herramientas
destapador,fácil,herramientas
pelador,fácil,herramientas
batidor (manual),fácil,herramientas
rodillo (cocina),fácil,herramientas
navaja (multiusos),media,herramientas
tenaza (corte),media,herramientas
maza (goma),media,herramientas
palanca (hierro),media,herramientas
soldador (estaño),difícil,herramientas
multímetro (básico),extrema,herramientas
sargento (carpintería),difícil,herramientas
cepillo (madera),difícil,herramientas
escoplo (madera),difícil,herramientas
hoz (pequeña),media,herramientas
guadaña (jardín),difícil,herramientas
podadora (manual),media,herramientas
motosierra (pequeña),difícil,herramientas
martinete,extrema,herramientas
almádena,extrema,herramientas
azuela,extrema,herramientas
amoladora (angular),extrema,herramientas
pulidora (coche),extrema,herramientas
grapadora (industrial),extrema,herramientas
pistola de clavos (neumática),extrema,herramientas
llave de impacto (neumática),extrema,herramientas
dinamométrica (llave),extrema,herramientas
extractor (mecánico),extrema,herramientas
compresor (aire),extrema,herramientas
generador (eléctrico),extrema,herramientas
dremel (multiherramienta),extrema,herramientas
soplete (oxicorte),extrema,herramientas
cabrestante (manual),extrema,herramientas
tecle (manual),extrema,herramientas
pistolete (pintura),extrema,herramientas
fuelle (chimenea),difícil,herramientas
badila (carbón),extrema,herramientas
atizador (fuego),extrema,herramientas
tridente,difícil,herramientas
arpón,difícil,herramientas
pie de rey,extrema,herramientas
gorra,fácil,ropa
pulsera,fácil,ropa
calzoncillos,fácil,ropa
bragas,fácil,ropa
sujetador,fácil,ropa
camiseta,fácil,ropa
vaqueros,fácil,ropa
bikini,fácil,ropa
camisón,fácil,ropa
calceta,fácil,ropa
babero,fácil,ropa
pañal,fácil,ropa
body,fácil,ropa
patucos,fácil,ropa
manoplas,fácil,ropa
leotardo,fácil,ropa
horquilla,fácil,ropa
coletero,fácil,ropa
polo (prenda),fácil,ropa
cazadora,fácil,ropa
parka,media,ropa
trenca,media,ropa
blazer,media,ropa
cárdigan,media,ropa
pajarita,media,ropa
sombrero de copa,difícil,ropa
velo (novia),media,ropa
mantilla (española),difícil,ropa
peineta (adorno),media,ropa
abanico (mano),fácil,ropa
náuticos (zapatos),media,ropa
alpargatas (calzado),fácil,ropa
zuecos (madera),media,ropa
kepis,extrema,ropa
boina,media,ropa
chistera,difícil,ropa
faja,media,ropa
liguero,difícil,ropa
bolero (prenda corta),difícil,ropa
capelina,extrema,ropa
estola (piel),extrema,ropa
fular (seda),media,ropa
pareo (playa),media,ropa
kaftán (túnica),extrema,ropa
chaqué (ceremonia),extrema,ropa
mitones (guantes),difícil,ropa
sotana,extrema,ropa
casulla,extrema,ropa
alba,extrema,ropa
hábito,media,ropa
toga,difícil,ropa
comunión,media,eventos
mitin,difícil,eventos
desfile,media,eventos
verbena,media,eventos
merienda,fácil,eventos
picnic,fácil,eventos
kermés,difícil,eventos
charla,fácil,eventos
taller (curso),media,eventos
masterclass,difícil,eventos
presentación,media,eventos
rueda de prensa,difícil,eventos
cóctel,media,eventos
brindis,media,eventos
homenaje,media,eventos
ofrenda,media,eventos
vigilia,difícil,eventos
ponencia,extrema,eventos
vernissage,extrema,eventos
convite,difícil,eventos
certamen,difícil,eventos
sínodo,extrema,eventos
concilio,extrema,eventos
capitulacion (rendicion),extrema,eventos
jubileo (celebracion),extrema,eventos
rogativa,extrema,eventos
novenario,extrema,eventos
simulacro,media,eventos
performance (artistica),extrema,eventos
happening,extrema,eventos
flashmob,difícil,eventos
rave,difícil,eventos
ágape (comida),extrema,eventos
justa (medieval),extrema,eventos
aquelarre,extrema,eventos
cónclave (elección papal),extrema,eventos
efeméride (conmemoración),extrema,eventos
consistorio (reunión),extrema,eventos
liturgia (ritual),extrema,eventos
semilla,fácil,naturaleza
tallo,fácil,naturaleza
rama,fácil,naturaleza
corteza,fácil,naturaleza
pétalo,fácil,naturaleza
polen,fácil,naturaleza
musgo,media,naturaleza
hongo,fácil,naturaleza
alga,fácil,naturaleza
costa,fácil,naturaleza
charco,fácil,naturaleza
barro,fácil,naturaleza
polvo,fácil,naturaleza
humo,fácil,naturaleza
ceniza,fácil,naturaleza
escama,fácil,naturaleza
pluma,fácil,naturaleza
arroyo,fácil,naturaleza
manantial,media,naturaleza
remolino,media,naturaleza
corriente,media,naturaleza
brisa,fácil,naturaleza
vendaval,media,naturaleza
huracán,media,naturaleza
tifón,difícil,naturaleza
tornado,media,naturaleza
terremoto,media,naturaleza
erupción,media,naturaleza
sequía,media,naturaleza
inundación,media,naturaleza
alud,difícil,naturaleza
deshielo,media,naturaleza
relámpago,media,naturaleza
centella,difícil,naturaleza
bruma,media,naturaleza
calima,difícil,naturaleza
fiordo,extrema,naturaleza
estepa,extrema,naturaleza
tundra,extrema,naturaleza
taiga,extrema,naturaleza
sabana,difícil,naturaleza
chaparral,extrema,naturaleza
manglar,extrema,naturaleza
sima,extrema,naturaleza
fumarola,extrema,naturaleza
monzón,extrema,naturaleza
barranco,media,naturaleza
meandro,extrema,naturaleza
albufera,extrema,naturaleza
turbera,extrema,naturaleza
humus,difícil,naturaleza
rizoma,extrema,naturaleza
liquen,extrema,naturaleza
espora,difícil,naturaleza
collage,media,arte
grafiti,media,arte
coro,fácil,arte
orquesta,media,arte
escenario,fácil,arte
telón,fácil,arte
aplauso,fácil,arte
crítica,media,arte
talento,media,arte
genio,media,arte
moda,fácil,arte
diseño,media,arte
joyería,media,arte
adorno,fácil,arte
decoración,fácil,arte
artesanía,media,arte
temple,extrema,arte
pastel (pintura),difícil,arte
carboncillo,difícil,arte
sanguina,extrema,arte
sepia,extrema,arte
serigrafía,extrema,arte
xilografía,extrema,arte
litografía,extrema,arte
aguafuerte,extrema,arte
gouache,extrema,arte
díptico,extrema,arte
tríptico,extrema,arte
políptico,extrema,arte
retablo,extrema,arte
capitel,extrema,arte
arquitrabe,extrema,arte
friso,extrema,arte
ménsula,extrema,arte
gárgola,extrema,arte
contrapunto,extrema,arte
fuga,extrema,arte
leitmotiv,extrema,arte
libreto,extrema,arte
dramaturgia,extrema,arte
